,anual_total_use_day,date,precipitation,temp_max,temp_media,temp_min,wind_speed,dioxido_nitrogeno,season,weekend,day,month,year
2,17,2014-06-23,0.0,29.7,23.2,16.6,1.7,20.0,Verano,0,0,6,2014
3,24,2014-06-24,0.0,19.8,18.4,17.0,1.7,17.0,Verano,0,1,6,2014
0,105,2014-06-25,1.7,27.0,21.6,16.2,1.4,20.0,Verano,0,2,6,2014
4,120,2014-06-26,0.4,26.2,20.8,15.5,0.6,21.0,Verano,0,3,6,2014
5,131,2014-06-27,0.0,30.4,23.7,17.0,2.2,23.0,Verano,0,4,6,2014
6,101,2014-06-28,0.0,29.6,23.3,17.0,3.9,17.0,Verano,1,5,6,2014
7,107,2014-06-29,0.0,28.3,22.2,16.2,1.9,10.0,Verano,1,6,6,2014
8,121,2014-06-30,0.0,29.9,23.0,16.2,2.5,16.0,Verano,0,0,6,2014
9,124,2014-07-01,0.0,28.0,22.8,17.6,2.8,15.0,Verano,0,1,7,2014
10,128,2014-07-02,1.1,27.3,21.0,14.6,1.4,12.0,Verano,0,2,7,2014
11,85,2014-07-03,1.5,22.2,19.2,16.2,2.5,17.0,Verano,0,3,7,2014
12,121,2014-07-04,0.0,28.7,21.0,13.4,1.7,20.0,Verano,0,4,7,2014
13,783,2014-07-05,0.0,31.7,24.8,18.0,2.2,25.0,Verano,1,5,7,2014
14,1230,2014-07-06,0.0,26.1,21.8,17.5,3.6,11.0,Verano,1,6,7,2014
15,1324,2014-07-07,0.0,28.0,22.4,16.7,1.9,11.0,Verano,0,0,7,2014
16,1774,2014-07-08,0.0,30.0,22.9,15.8,0.3,22.0,Verano,0,1,7,2014
17,1874,2014-07-09,0.0,29.2,22.8,16.4,3.6,11.0,Verano,0,2,7,2014
18,2266,2014-07-10,0.0,29.0,21.1,13.2,2.2,11.0,Verano,0,3,7,2014
19,2212,2014-07-11,0.0,30.0,21.7,13.4,1.1,14.0,Verano,0,4,7,2014
20,1949,2014-07-12,0.0,31.2,23.3,15.4,2.2,12.0,Verano,1,5,7,2014
21,1790,2014-07-13,0.0,33.2,25.6,18.0,2.5,12.0,Verano,1,6,7,2014
22,2311,2014-07-14,0.0,35.0,27.9,20.8,1.4,24.0,Verano,0,0,7,2014
