DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio
3/07/2017;11905;256;12161;7945412;174207;8119619
4/07/2017;12701;214;12915;7958113;174421;8132534
5/07/2017;13090;265;13355;7971203;174686;8145889
6/07/2017;6135;69;6204;7977338;174755;8152093
7/07/2017;7721;101;7822;7985059;174856;8159915
8/07/2017;7588;315;7903;7992647;175171;8167818
9/07/2017;7862;468;8330;8000509;175639;8176148
10/07/2017;11684;289;11973;8012193;175928;8188121
11/07/2017;12355;169;12524;8024548;176097;8200645
12/07/2017;12603;162;12765;8037151;176259;8213410
13/07/2017;12358;188;12546;8049509;176447;8225956
14/07/2017;11208;186;11394;8060717;176633;8237350
15/07/2017;7354;226;7580;8068071;176859;8244930
16/07/2017;7256;307;7563;8075327;177166;8252493
17/07/2017;11127;193;11320;8086454;177359;8263813
18/07/2017;11844;167;12011;8098298;177526;8275824
19/07/2017;12203;179;12382;8110501;177705;8288206
20/07/2017;12439;177;12616;8122940;177882;8300822
21/07/2017;11433;193;11626;8134373;178075;8312448
22/07/2017;7682;378;8060;8142055;178453;8320508
23/07/2017;6796;285;7081;8148851;178738;8327589
24/07/2017;10956;136;11092;8159807;178874;8338681
25/07/2017;11613;204;11817;8171420;179078;8350498
26/07/2017;12065;137;12202;8183485;179215;8362700
27/07/2017;12414;204;12618;8195899;179419;8375318
28/07/2017;11344;219;11563;8207243;179638;8386881
29/07/2017;7169;281;7450;8214412;179919;8394331
30/07/2017;6490;293;6783;8220902;180212;8401114
31/07/2017;9759;258;10017;8230661;180470;8411131
1/08/2017;9935;177;10112;8240596;180647;8421243
2/08/2017;10519;190;10709;8251115;180837;8431952
3/08/2017;10228;199;10427;8261343;181036;8442379
4/08/2017;9207;210;9417;8270550;181246;8451796
5/08/2017;6235;223;6458;8276785;181469;8458254
6/08/2017;5801;297;6098;8282586;181766;8464352
7/08/2017;8553;193;8746;8291139;181959;8473098
8/08/2017;8844;262;9106;8299983;182221;8482204
9/08/2017;8764;216;8980;8308747;182437;8491184
10/08/2017;8440;197;8637;8317187;182634;8499821
11/08/2017;7573;272;7845;8324760;182906;8507666
12/08/2017;5341;333;5674;8330101;183239;8513340
13/08/2017;4973;462;5435;8335074;183701;8518775
14/08/2017;6536;316;6852;8341610;184017;8525627
15/08/2017;5781;316;6097;8347391;184333;8531724
16/08/2017;8001;292;8293;8355392;184625;8540017
17/08/2017;8472;277;8749;8363864;184902;8548766
18/08/2017;7692;222;7914;8371556;185124;8556680
19/08/2017;5766;328;6094;8377322;185452;8562774
20/08/2017;5657;337;5994;8382979;185789;8568768
21/08/2017;8469;241;8710;8391448;186030;8577478
22/08/2017;9130;187;9317;8400578;186217;8586795
23/08/2017;9430;212;9642;8410008;186429;8596437
24/08/2017;9699;219;9918;8419707;186648;8606355
25/08/2017;9107;237;9344;8428814;186885;8615699
26/08/2017;6860;373;7233;8435674;187258;8622932
27/08/2017;6348;349;6697;8442022;187607;8629629
28/08/2017;5877;88;5965;8447899;187695;8635594
29/08/2017;10215;235;10450;8458114;187930;8646044
30/08/2017;11224;161;11385;8469338;188091;8657429
31/08/2017;12064;154;12218;8481402;188245;8669647
1/09/2017;12042;179;12221;8493444;188424;8681868
2/09/2017;8727;446;9173;8502171;188870;8691041
3/09/2017;8863;449;9312;8511034;189319;8700353
4/09/2017;12386;261;12647;8523420;189580;8713000
5/09/2017;13437;212;13649;8536857;189792;8726649
6/09/2017;14052;232;14284;8550909;190024;8740933
7/09/2017;14092;257;14349;8565001;190281;8755282
8/09/2017;13481;325;13806;8578482;190606;8769088
9/09/2017;9634;341;9975;8588116;190947;8779063
10/09/2017;8958;427;9385;8597074;191374;8788448
11/09/2017;12666;213;12879;8609740;191587;8801327
12/09/2017;13674;166;13840;8623414;191753;8815167
13/09/2017;14269;224;14493;8637683;191977;8829660
14/09/2017;14288;196;14484;8651971;192173;8844144
15/09/2017;13109;200;13309;8665080;192373;8857453
16/09/2017;9434;386;9820;8674514;192759;8867273
17/09/2017;9218;419;9637;8683732;193178;8876910
18/09/2017;12353;156;12509;8696085;193334;8889419
19/09/2017;13438;153;13591;8709523;193487;8903010
20/09/2017;14130;198;14328;8723653;193685;8917338
21/09/2017;14023;170;14193;8737676;193855;8931531
22/09/2017;13325;305;13630;8751001;194160;8945161
23/09/2017;10329;495;10824;8761330;194655;8955985
24/09/2017;9904;499;10403;8771234;195154;8966388
25/09/2017;12789;181;12970;8784023;195335;8979358
26/09/2017;13612;209;13821;8797635;195544;8993179
27/09/2017;13872;186;14058;8811507;195730;9007237
28/09/2017;14228;212;14440;8825735;195942;9021677
29/09/2017;14455;258;14713;8840190;196200;9036390
30/09/2017;11151;474;11625;8851341;196674;9048015
1/10/2017;10292;590;10882;8861633;197264;9058897
2/10/2017;13104;204;13308;8874737;197468;9072205
3/10/2017;14254;241;14495;8888991;197709;9086700
4/10/2017;14474;156;14630;8903465;197865;9101330
5/10/2017;15044;263;15307;8918509;198128;9116637
6/10/2017;14563;239;14802;8933072;198367;9131439
7/10/2017;11344;416;11760;8944416;198783;9143199
8/10/2017;10601;497;11098;8955017;199280;9154297
9/10/2017;13186;251;13437;8968203;199531;9167734
10/10/2017;13659;140;13799;8981862;199671;9181533
11/10/2017;14067;158;14225;8995929;199829;9195758
12/10/2017;10097;396;10493;9006026;200225;9206251
13/10/2017;11312;365;11677;9017338;200590;9217928
14/10/2017;9223;587;9810;9026561;201177;9227738
15/10/2017;9250;481;9731;9035811;201658;9237469
16/10/2017;12837;208;13045;9048648;201866;9250514
17/10/2017;11316;142;11458;9059964;202008;9261972
18/10/2017;6339;38;6377;9066303;202046;9268349
19/10/2017;12290;139;12429;9078593;202185;9280778
20/10/2017;13326;149;13475;9091919;202334;9294253
21/10/2017;10759;363;11122;9102678;202697;9305375
22/10/2017;10423;459;10882;9113101;203156;9316257
23/10/2017;12131;221;12352;9125232;203377;9328609
24/10/2017;13290;149;13439;9138522;203526;9342048
25/10/2017;13835;136;13971;9152357;203662;9356019
26/10/2017;14274;186;14460;9166631;203848;9370479
27/10/2017;14110;269;14379;9180741;204117;9384858
28/10/2017;10861;563;11424;9191602;204680;9396282
29/10/2017;8972;517;9489;9200574;205197;9405771
30/10/2017;12391;269;12660;9212965;205466;9418431
31/10/2017;13423;233;13656;9226388;205699;9432087
1/11/2017;10173;394;10567;9236561;206093;9442654
2/11/2017;12647;205;12852;9249208;206298;9455506
3/11/2017;12892;307;13199;9262100;206605;9468705
4/11/2017;8413;362;8775;9270513;206967;9477480
5/11/2017;8461;395;8856;9278974;207362;9486336
6/11/2017;10804;94;10898;9289778;207456;9497234
7/11/2017;11833;96;11929;9301611;207552;9509163
8/11/2017;11621;59;11680;9313232;207611;9520843
9/11/2017;7292;138;7430;9320524;207749;9528273
10/11/2017;10143;135;10278;9330667;207884;9538551
11/11/2017;8418;345;8763;9339085;208229;9547314
12/11/2017;7851;412;8263;9346936;208641;9555577
13/11/2017;10354;120;10474;9357290;208761;9566051
14/11/2017;11097;65;11162;9368387;208826;9577213
15/11/2017;11291;63;11354;9379678;208889;9588567
16/11/2017;11854;81;11935;9391532;208970;9600502
17/11/2017;11847;176;12023;9403379;209146;9612525
18/11/2017;9591;325;9916;9412970;209471;9622441
19/11/2017;8223;411;8634;9421193;209882;9631075
20/11/2017;10885;149;11034;9432078;210031;9642109
21/11/2017;11648;86;11734;9443726;210117;9653843
22/11/2017;11784;89;11873;9455510;210206;9665716
23/11/2017;12160;75;12235;9467670;210281;9677951
24/11/2017;12325;120;12445;9479995;210401;9690396
25/11/2017;9162;313;9475;9489157;210714;9699871
26/11/2017;7474;265;7739;9496631;210979;9707610
27/11/2017;9687;51;9738;9506318;211030;9717348
28/11/2017;6813;23;6836;9513131;211053;9724184
29/11/2017;10585;36;10621;9523716;211089;9734805
30/11/2017;10236;77;10313;9533952;211166;9745118
1/12/2017;9630;37;9667;9543582;211203;9754785
2/12/2017;6680;135;6815;9550262;211338;9761600
3/12/2017;6061;170;6231;9556323;211508;9767831
4/12/2017;8734;50;8784;9565057;211558;9776615
5/12/2017;9279;57;9336;9574336;211615;9785951
6/12/2017;5988;154;6142;9580324;211769;9792093
7/12/2017;7060;182;7242;9587384;211951;9799335
8/12/2017;5116;205;5321;9592500;212156;9804656
9/12/2017;5857;287;6144;9598357;212443;9810800
10/12/2017;4537;185;4722;9602894;212628;9815522
11/12/2017;7576;23;7599;9610470;212651;9823121
12/12/2017;9280;35;9315;9619750;212686;9832436
13/12/2017;9420;19;9439;9629170;212705;9841875
14/12/2017;9825;62;9887;9638995;212767;9851762
15/12/2017;10289;82;10371;9649284;212849;9862133
16/12/2017;8165;131;8296;9657449;212980;9870429
17/12/2017;6942;151;7093;9664391;213131;9877522
18/12/2017;9140;50;9190;9673531;213181;9886712
19/12/2017;10232;55;10287;9683763;213236;9896999
20/12/2017;10391;33;10424;9694154;213269;9907423
21/12/2017;10372;94;10466;9704526;213363;9917889
22/12/2017;9901;164;10065;9714427;213527;9927954
23/12/2017;6604;188;6792;9721031;213715;9934746
24/12/2017;4198;181;4379;9725229;213896;9939125
25/12/2017;2347;58;2405;9727576;213954;9941530
26/12/2017;5003;69;5072;9732579;214023;9946602
27/12/2017;6049;161;6210;9738628;214184;9952812
28/12/2017;6951;195;7146;9745579;214379;9959958
29/12/2017;7423;249;7672;9753002;214628;9967630
30/12/2017;5891;323;6214;9758893;214951;9973844
31/12/2017;3889;245;4134;9762782;215196;9977978
1/01/2018;3454;315;3769;9766236;215511;9981747
2/01/2018;6414;235;6649;9772650;215746;9988396
3/01/2018;7689;200;7889;9780339;215946;9996285
4/01/2018;8282;183;8465;9788621;216129;10004750
5/01/2018;5872;75;5947;9794493;216204;10010697
6/01/2018;1379;14;1393;9795872;216218;10012090
7/01/2018;2414;7;2421;9798286;216225;10014511
8/01/2018;7802;41;7843;9806088;216266;10022354
9/01/2018;5915;9;5924;9812003;216275;10028278
10/01/2018;7045;11;7056;9819048;216286;10035334
11/01/2018;8765;39;8804;9827813;216325;10044138
12/01/2018;9262;41;9303;9837075;216366;10053441
13/01/2018;4311;31;4342;9841386;216397;10057783
14/01/2018;5375;82;5457;9846761;216479;10063240
15/01/2018;8130;49;8179;9854891;216528;10071419
16/01/2018;9315;61;9376;9864206;216589;10080795
17/01/2018;9698;42;9740;9873904;216631;10090535
18/01/2018;10004;101;10105;9883908;216732;10100640
19/01/2018;10226;117;10343;9894134;216849;10110983
20/01/2018;7471;245;7716;9901605;217094;10118699
21/01/2018;7460;242;7702;9909065;217336;10126401
22/01/2018;9511;63;9574;9918576;217399;10135975
23/01/2018;10212;88;10300;9928788;217487;10146275
24/01/2018;10689;46;10735;9939477;217533;10157010
25/01/2018;6790;17;6807;9946267;217550;10163817
26/01/2018;9192;67;9259;9955459;217617;10173076
27/01/2018;6681;175;6856;9962140;217792;10179932
28/01/2018;6069;195;6264;9968209;217987;10186196
29/01/2018;9164;76;9240;9977373;218063;10195436
30/01/2018;9785;65;9850;9987158;218128;10205286
31/01/2018;10190;89;10279;9997348;218217;10215565
1/02/2018;9070;62;9132;10006418;218279;10224697
2/02/2018;8789;47;8836;10015207;218326;10233533
3/02/2018;6586;177;6763;10021793;218503;10240296
4/02/2018;2152;23;2175;10023945;218526;10242471
5/02/2018;2895;7;2902;10026840;218533;10245373
6/02/2018;7745;40;7785;10034585;218573;10253158
7/02/2018;8023;30;8053;10042608;218603;10261211
8/02/2018;8278;49;8327;10050886;218652;10269538
9/02/2018;8485;70;8555;10059371;218722;10278093
10/02/2018;6220;216;6436;10065591;218938;10284529
11/02/2018;6115;217;6332;10071706;219155;10290861
12/02/2018;8168;83;8251;10079874;219238;10299112
13/02/2018;8476;62;8538;10088350;219300;10307650
14/02/2018;9320;70;9390;10097670;219370;10317040
15/02/2018;9205;123;9328;10106875;219493;10326368
16/02/2018;9515;162;9677;10116390;219655;10336045
17/02/2018;7232;284;7516;10123622;219939;10343561
18/02/2018;6686;339;7025;10130308;220278;10350586
19/02/2018;9048;66;9114;10139356;220344;10359700
20/02/2018;9924;79;10003;10149280;220423;10369703
21/02/2018;9325;92;9417;10158605;220515;10379120
22/02/2018;9370;50;9420;10167975;220565;10388540
23/02/2018;9452;115;9567;10177427;220680;10398107
24/02/2018;6940;273;7213;10184367;220953;10405320
25/02/2018;6608;294;6902;10190975;221247;10412222
26/02/2018;9235;87;9322;10200210;221334;10421544
27/02/2018;4627;13;4640;10204837;221347;10426184
28/02/2018;3615;13;3628;10208452;221360;10429812
1/03/2018;3254;5;3259;10211706;221365;10433071
2/03/2018;3615;8;3623;10215321;221373;10436694
3/03/2018;4580;106;4686;10219901;221479;10441380
4/03/2018;5280;134;5414;10225181;221613;10446794
5/03/2018;6159;42;6201;10231340;221655;10452995
6/03/2018;7641;47;7688;10238981;221702;10460683
7/03/2018;9573;70;9643;10248554;221772;10470326
8/03/2018;9520;63;9583;10258074;221835;10479909
9/03/2018;4818;12;4830;10262892;221847;10484739
10/03/2018;3858;76;3934;10266750;221923;10488673
11/03/2018;4509;60;4569;10271259;221983;10493242
12/03/2018;8478;92;8570;10279737;222075;10501812
13/03/2018;9267;75;9342;10289004;222150;10511154
14/03/2018;3219;27;3246;10292223;222177;10514400
15/03/2018;8998;77;9075;10301221;222254;10523475
16/03/2018;7844;139;7983;10309065;222393;10531458
17/03/2018;5016;162;5178;10314081;222555;10536636
18/03/2018;6187;235;6422;10320268;222790;10543058
19/03/2018;5829;35;5864;10326097;222825;10548922
20/03/2018;8030;48;8078;10334127;222873;10557000
21/03/2018;8762;50;8812;10342889;222923;10565812
22/03/2018;9451;79;9530;10352340;223002;10575342
23/03/2018;7071;54;7125;10359411;223056;10582467
24/03/2018;4894;131;5025;10364305;223187;10587492
25/03/2018;5075;204;5279;10369380;223391;10592771
26/03/2018;7357;181;7538;10376737;223572;10600309
27/03/2018;7985;202;8187;10384722;223774;10608496
28/03/2018;7263;214;7477;10391985;223988;10615973
29/03/2018;4036;220;4256;10396021;224208;10620229
30/03/2018;2976;268;3244;10398997;224476;10623473
31/03/2018;3664;285;3949;10402661;224761;10627422
1/04/2018;4772;510;5282;10407433;225271;10632704
2/04/2018;8853;301;9154;10416286;225572;10641858
3/04/2018;9293;98;9391;10425579;225670;10651249
4/04/2018;9794;96;9890;10435373;225766;10661139
5/04/2018;10976;138;11114;10446349;225904;10672253
6/04/2018;8253;156;8409;10454602;226060;10680662
7/04/2018;5237;81;5318;10459839;226141;10685980
8/04/2018;7248;294;7542;10467087;226435;10693522
9/04/2018;6908;28;6936;10473995;226463;10700458
10/04/2018;3063;6;3069;10477058;226469;10703527
11/04/2018;8612;67;8679;10485670;226536;10712206
12/04/2018;7075;53;7128;10492745;226589;10719334
13/04/2018;8595;80;8675;10501340;226669;10728009
14/04/2018;7668;330;7998;10509008;226999;10736007
15/04/2018;7296;300;7596;10516304;227299;10743603
16/04/2018;9844;116;9960;10526148;227415;10753563
17/04/2018;11401;168;11569;10537549;227583;10765132
18/04/2018;12503;191;12694;10550052;227774;10777826
19/04/2018;12561;139;12700;10562613;227913;10790526
20/04/2018;12149;177;12326;10574762;228090;10802852
21/04/2018;8705;419;9124;10583467;228509;10811976
22/04/2018;9094;336;9430;10592561;228845;10821406
23/04/2018;11376;221;11597;10603937;229066;10833003
24/04/2018;12845;183;13028;10616782;229249;10846031
25/04/2018;13592;160;13752;10630374;229409;10859783
26/04/2018;13392;171;13563;10643766;229580;10873346
27/04/2018;12329;291;12620;10656095;229871;10885966
28/04/2018;6987;453;7440;10663082;230324;10893406
29/04/2018;3707;150;3857;10666789;230474;10897263
30/04/2018;5555;199;5754;10672344;230673;10903017
1/05/2018;5669;418;6087;10678013;231091;10909104
2/05/2018;6903;236;7139;10684916;231327;10916243
3/05/2018;10814;211;11025;10695730;231538;10927268
4/05/2018;11629;223;11852;10707359;231761;10939120
5/05/2018;9114;463;9577;10716473;232224;10948697
6/05/2018;8495;478;8973;10724968;232702;10957670
7/05/2018;10334;234;10568;10735302;232936;10968238
8/05/2018;11623;268;11891;10746925;233204;10980129
9/05/2018;13000;234;13234;10759925;233438;10993363
10/05/2018;13411;335;13746;10773336;233773;11007109
11/05/2018;12759;350;13109;10786095;234123;11020218
12/05/2018;8385;438;8823;10794480;234561;11029041
13/05/2018;7476;469;7945;10801956;235030;11036986
14/05/2018;10559;204;10763;10812515;235234;11047749
15/05/2018;9242;298;9540;10821757;235532;11057289
16/05/2018;12792;194;12986;10834549;235726;11070275
17/05/2018;13369;196;13565;10847918;235922;11083840
18/05/2018;11814;190;12004;10859732;236112;11095844
19/05/2018;9498;491;9989;10869230;236603;11105833
20/05/2018;8873;508;9381;10878103;237111;11115214
21/05/2018;11605;292;11897;10889708;237403;11127111
22/05/2018;12127;163;12290;10901835;237566;11139401
23/05/2018;12692;136;12828;10914527;237702;11152229
24/05/2018;13149;184;13333;10927676;237886;11165562
25/05/2018;7978;94;8072;10935654;237980;11173634
26/05/2018;9442;417;9859;10945096;238397;11183493
27/05/2018;9893;390;10283;10954989;238787;11193776
28/05/2018;6334;96;6430;10961323;238883;11200206
29/05/2018;9451;96;9547;10970774;238979;11209753
30/05/2018;11388;123;11511;10982162;239102;11221264
31/05/2018;13144;174;13318;10995306;239276;11234582
1/06/2018;13170;213;13383;11008476;239489;11247965
2/06/2018;7232;401;7633;11015708;239890;11255598
3/06/2018;9155;392;9547;11024863;240282;11265145
4/06/2018;12073;201;12274;11036936;240483;11277419
5/06/2018;12522;110;12632;11049458;240593;11290051
6/06/2018;11128;71;11199;11060586;240664;11301250
7/06/2018;13616;202;13818;11074202;240866;11315068
8/06/2018;7925;86;8011;11082127;240952;11323079
9/06/2018;8789;394;9183;11090916;241346;11332262
10/06/2018;7918;330;8248;11098834;241676;11340510
11/06/2018;11569;175;11744;11110403;241851;11352254
12/06/2018;12879;162;13041;11123282;242013;11365295
13/06/2018;13546;188;13734;11136828;242201;11379029
14/06/2018;13361;172;13533;11150189;242373;11392562
15/06/2018;13162;204;13366;11163351;242577;11405928
16/06/2018;9464;331;9795;11172815;242908;11415723
17/06/2018;8600;367;8967;11181415;243275;11424690
18/06/2018;12577;192;12769;11193992;243467;11437459
19/06/2018;13814;145;13959;11207806;243612;11451418
20/06/2018;14345;164;14509;11222151;243776;11465927
21/06/2018;14468;173;14641;11236619;243949;11480568
22/06/2018;13590;227;13817;11250209;244176;11494385
23/06/2018;9211;429;9640;11259420;244605;11504025
24/06/2018;8522;323;8845;11267942;244928;11512870
25/06/2018;13282;216;13498;11281224;245144;11526368
26/06/2018;13806;173;13979;11295030;245317;11540347
27/06/2018;14537;204;14741;11309567;245521;11555088
28/06/2018;14560;206;14766;11324127;245727;11569854
29/06/2018;13491;257;13748;11337618;245984;11583602
30/06/2018;9171;298;9469;11346789;246282;11593071
1/07/2018;8537;297;8834;11355326;246579;11601905
2/07/2018;12801;150;12951;11368127;246729;11614856
3/07/2018;13934;141;14075;11382061;246870;11628931
4/07/2018;13864;162;14026;11395925;247032;11642957
5/07/2018;13755;154;13909;11409680;247186;11656866
6/07/2018;12452;189;12641;11422132;247375;11669507
7/07/2018;8316;303;8619;11430448;247678;11678126
8/07/2018;7676;348;8024;11438124;248026;11686150
9/07/2018;12414;257;12671;11450538;248283;11698821
10/07/2018;13472;188;13660;11464010;248471;11712481
11/07/2018;13513;195;13708;11477523;248666;11726189
12/07/2018;13578;193;13771;11491101;248859;11739960
13/07/2018;12270;265;12535;11503371;249124;11752495
14/07/2018;8015;364;8379;11511386;249488;11760874
15/07/2018;7664;366;8030;11519050;249854;11768904
16/07/2018;11787;176;11963;11530837;250030;11780867
17/07/2018;12966;214;13180;11543803;250244;11794047
18/07/2018;13516;224;13740;11557319;250468;11807787
19/07/2018;13442;184;13626;11570761;250652;11821413
20/07/2018;12069;192;12261;11582830;250844;11833674
21/07/2018;7807;338;8145;11590637;251182;11841819
22/07/2018;7009;440;7449;11597646;251622;11849268
23/07/2018;11607;238;11845;11609253;251860;11861113
24/07/2018;12377;197;12574;11621630;252057;11873687
25/07/2018;12501;173;12674;11634131;252230;11886361
26/07/2018;12465;190;12655;11646596;252420;11899016
27/07/2018;11318;248;11566;11657914;252668;11910582
28/07/2018;7855;371;8226;11665769;253039;11918808
29/07/2018;7627;379;8006;11673396;253418;11926814
30/07/2018;11655;217;11872;11685051;253635;11938686
31/07/2018;12410;287;12697;11697461;253922;11951383
1/08/2018;12219;272;12491;11709680;254194;11963874
2/08/2018;11526;202;11728;11721206;254396;11975602
3/08/2018;10073;131;10204;11731279;254527;11985806
4/08/2018;6486;277;6763;11737765;254804;11992569
5/08/2018;6272;322;6594;11744037;255126;11999163
6/08/2018;9057;208;9265;11753094;255334;12008428
7/08/2018;10022;133;10155;11763116;255467;12018583
8/08/2018;10016;242;10258;11773132;255709;12028841
9/08/2018;10077;245;10322;11783209;255954;12039163
10/08/2018;8756;252;9008;11791965;256206;12048171
11/08/2018;6099;380;6479;11798064;256586;12054650
12/08/2018;5868;398;6266;11803932;256984;12060916
13/08/2018;8280;281;8561;11812212;257265;12069477
14/08/2018;8894;268;9162;11821106;257533;12078639
15/08/2018;6763;308;7071;11827869;257841;12085710
16/08/2018;8753;230;8983;11836622;258071;12094693
17/08/2018;7982;194;8176;11844604;258265;12102869
18/08/2018;5854;263;6117;11850458;258528;12108986
19/08/2018;5885;430;6315;11856343;258958;12115301
20/08/2018;9293;237;9530;11865636;259195;12124831
21/08/2018;9915;213;10128;11875551;259408;12134959
22/08/2018;10570;151;10721;11886121;259559;12145680
23/08/2018;10814;178;10992;11896935;259737;12156672
24/08/2018;10008;231;10239;11906943;259968;12166911
25/08/2018;7163;351;7514;11914106;260319;12174425
26/08/2018;6969;375;7344;11921075;260694;12181769
27/08/2018;11098;253;11351;11932173;260947;12193120
28/08/2018;12003;278;12281;11944176;261225;12205401
29/08/2018;12578;255;12833;11956754;261480;12218234
30/08/2018;12835;245;13080;11969589;261725;12231314
31/08/2018;12490;164;12654;11982079;261889;12243968
1/09/2018;9428;286;9714;11991507;262175;12253682
2/09/2018;8969;357;9326;12000476;262532;12263008
3/09/2018;13417;181;13598;12013893;262713;12276606
4/09/2018;14742;183;14925;12028635;262896;12291531
5/09/2018;14994;151;15145;12043629;263047;12306676
6/09/2018;15331;147;15478;12058960;263194;12322154
7/09/2018;13466;175;13641;12072426;263369;12335795
8/09/2018;8424;194;8618;12080850;263563;12344413
9/09/2018;9783;520;10303;12090633;264083;12354716
10/09/2018;14447;218;14665;12105080;264301;12369381
11/09/2018;15521;160;15681;12120601;264461;12385062
12/09/2018;16127;149;16276;12136728;264610;12401338
13/09/2018;16189;196;16385;12152917;264806;12417723
14/09/2018;15738;257;15995;12168655;265063;12433718
15/09/2018;11122;403;11525;12179777;265466;12445243
16/09/2018;10693;449;11142;12190470;265915;12456385
17/09/2018;14316;208;14524;12204786;266123;12470909
18/09/2018;15149;120;15269;12219935;266243;12486178
19/09/2018;16313;140;16453;12236248;266383;12502631
20/09/2018;16529;203;16732;12252777;266586;12519363
21/09/2018;15600;205;15805;12268377;266791;12535168
22/09/2018;11423;399;11822;12279800;267190;12546990
23/09/2018;11100;441;11541;12290900;267631;12558531
24/09/2018;14572;201;14773;12305472;267832;12573304
25/09/2018;15671;161;15832;12321143;267993;12589136
26/09/2018;15131;145;15276;12336274;268138;12604412
27/09/2018;16024;167;16191;12352298;268305;12620603
28/09/2018;15531;192;15723;12367829;268497;12636326
29/09/2018;11742;401;12143;12379571;268898;12648469
30/09/2018;10948;415;11363;12390519;269313;12659832
1/10/2018;14116;284;14400;12404635;269597;12674232
2/10/2018;14888;135;15023;12419523;269732;12689255
3/10/2018;15777;143;15920;12435300;269875;12705175
4/10/2018;15600;148;15748;12450900;270023;12720923
5/10/2018;15106;192;15298;12466006;270215;12736221
6/10/2018;11792;368;12160;12477798;270583;12748381
7/10/2018;9864;348;10212;12487662;270931;12758593
8/10/2018;13326;119;13445;12500988;271050;12772038
9/10/2018;11608;85;11693;12512596;271135;12783731
10/10/2018;12457;47;12504;12525053;271182;12796235
11/10/2018;11746;57;11803;12536799;271239;12808038
12/10/2018;7850;191;8041;12544649;271430;12816079
13/10/2018;8993;393;9386;12553642;271823;12825465
14/10/2018;6887;199;7086;12560529;272022;12832551
15/10/2018;10699;63;10762;12571228;272085;12843313
16/10/2018;13630;80;13710;12584858;272165;12857023
17/10/2018;14430;98;14528;12599288;272263;12871551
18/10/2018;12791;102;12893;12612079;272365;12884444
19/10/2018;7216;68;7284;12619295;272433;12891728
20/10/2018;8357;248;8605;12627652;272681;12900333
21/10/2018;8955;242;9197;12636607;272923;12909530
22/10/2018;13226;127;13353;12649833;273050;12922883
23/10/2018;14081;136;14217;12663914;273186;12937100
24/10/2018;14240;102;14342;12678154;273288;12951442
25/10/2018;14618;150;14768;12692772;273438;12966210
26/10/2018;11387;126;11513;12704159;273564;12977723
27/10/2018;6619;81;6700;12710778;273645;12984423
28/10/2018;6796;161;6957;12717574;273806;12991380
29/10/2018;10216;64;10280;12727790;273870;13001660
30/10/2018;5125;8;5133;12732915;273878;13006793
31/10/2018;10451;40;10491;12743366;273918;13017284
1/11/2018;7812;225;8037;12751178;274143;13025321
2/11/2018;9846;253;10099;12761024;274396;13035420
3/11/2018;8019;252;8271;12769043;274648;13043691
4/11/2018;7271;247;7518;12776314;274895;13051209
5/11/2018;6401;33;6434;12782715;274928;13057643
6/11/2018;10699;79;10778;12793414;275007;13068421
7/11/2018;7897;27;7924;12801311;275034;13076345
8/11/2018;8733;24;8757;12810044;275058;13085102
9/11/2018;6992;109;7101;12817036;275167;13092203
10/11/2018;6285;109;6394;12823321;275276;13098597
11/11/2018;6781;189;6970;12830102;275465;13105567
12/11/2018;9717;20;9737;12839819;275485;13115304
13/11/2018;12299;82;12381;12852118;275567;13127685
14/11/2018;12163;71;12234;12864281;275638;13139919
15/11/2018;11935;48;11983;12876216;275686;13151902
16/11/2018;11105;97;11202;12887321;275783;13163104
17/11/2018;9448;311;9759;12896769;276094;13172863
18/11/2018;5322;103;5425;12902091;276197;13178288
19/11/2018;9875;68;9943;12911966;276265;13188231
20/11/2018;9104;27;9131;12921070;276292;13197362
21/11/2018;10042;29;10071;12931112;276321;13207433
22/11/2018;11236;20;11256;12942348;276341;13218689
23/11/2018;10833;79;10912;12953181;276420;13229601
24/11/2018;7634;168;7802;12960815;276588;13237403
25/11/2018;6042;131;6173;12966857;276719;13243576
26/11/2018;9876;61;9937;12976733;276780;13253513
27/11/2018;10954;41;10995;12987687;276821;13264508
28/11/2018;10987;31;11018;12998674;276852;13275526
29/11/2018;10564;40;10604;13009238;276892;13286130
30/11/2018;10879;59;10938;13020117;276951;13297068
1/12/2018;8488;184;8672;13028605;277135;13305740
2/12/2018;6940;107;7047;13035545;277242;13312787
3/12/2018;9440;41;9481;13044985;277283;13322268
4/12/2018;11224;44;11268;13056209;277327;13333536
5/12/2018;11522;46;11568;13067731;277373;13345104
6/12/2018;7409;120;7529;13075140;277493;13352633
7/12/2018;8305;139;8444;13083445;277632;13361077
8/12/2018;6798;305;7103;13090243;277937;13368180
9/12/2018;7009;251;7260;13097252;278188;13375440
10/12/2018;10267;90;10357;13107519;278278;13385797
11/12/2018;11084;86;11170;13118603;278364;13396967
12/12/2018;11089;83;11172;13129692;278447;13408139
13/12/2018;7909;19;7928;13137601;278466;13416067
14/12/2018;10968;56;11024;13148569;278522;13427091
15/12/2018;8427;102;8529;13156996;278624;13435620
16/12/2018;6816;85;6901;13163812;278709;13442521
17/12/2018;10159;62;10221;13173971;278771;13452742
18/12/2018;10126;56;10182;13184097;278827;13462924
19/12/2018;10440;82;10522;13194537;278909;13473446
